"position","const","created","modified","description","Title","Title type","Directors","You rated","IMDb Rating","Runtime (mins)","Year","Genres","Num. Votes","Release Date (month/day/year)","URL"
"234","tt0047478","Tue Feb 23 23:11:08 2016","Tue Feb 23 23:11:08 2016","","Shichinin no samurai","Feature Film","Akira Kurosawa","","8.7","207","1954","action, adventure, drama","229812","1954-04-26","http://www.imdb.com/title/tt0047478/"
"235","tt0057358","Tue Feb 23 23:11:17 2016","Tue Feb 23 23:11:17 2016","","Nattvardsgästerna","Feature Film","Ingmar Bergman","","8.1","81","1963","drama","14085","1963-02-09","http://www.imdb.com/title/tt0057358/"
"236","tt0042619","Tue Feb 23 23:11:19 2016","Tue Feb 23 23:11:19 2016","","Journal d'un curé de campagne","Feature Film","Robert Bresson","","8.0","115","1951","drama","6760","1951-02-07","http://www.imdb.com/title/tt0042619/"
"237","tt0057115","Tue Feb 23 23:16:44 2016","Tue Feb 23 23:16:44 2016","","The Great Escape","Feature Film","John Sturges","","8.3","172","1963","adventure, drama, history, thriller, war","166230","1963-06-20","http://www.imdb.com/title/tt0057115/"
"238","tt0106677","Tue Feb 23 23:16:46 2016","Tue Feb 23 23:16:46 2016","","Dazed and Confused","Feature Film","Richard Linklater","","7.7","102","1993","comedy","120671","1993-08","http://www.imdb.com/title/tt0106677/"
"239","tt0074285","Tue Feb 23 23:16:47 2016","Tue Feb 23 23:16:47 2016","","Carrie","Feature Film","Brian De Palma","","7.4","98","1976","horror","126291","1976-11-03","http://www.imdb.com/title/tt0074285/"
"240","tt0074174","Tue Feb 23 23:16:48 2016","Tue Feb 23 23:16:48 2016","","The Bad News Bears","Feature Film","Michael Ritchie","","7.3","102","1976","comedy, drama, family, sport","16359","1976-04-06","http://www.imdb.com/title/tt0074174/"
"241","tt0067610","Tue Feb 23 23:16:54 2016","Tue Feb 23 23:16:54 2016","","Pretty Maids All in a Row","Feature Film","Roger Vadim","","6.2","91","1971","comedy, crime, mystery, thriller","1444","1971-02-26","http://www.imdb.com/title/tt0067610/"
"242","tt0032599","Tue Feb 23 23:16:56 2016","Tue Feb 23 23:16:56 2016","","His Girl Friday","Feature Film","Howard Hawks","","8.0","92","1940","comedy, drama, romance","41225","1940-01-11","http://www.imdb.com/title/tt0032599/"
"243","tt0076637","Tue Feb 23 23:16:58 2016","Tue Feb 23 23:16:58 2016","","Rolling Thunder","Feature Film","John Flynn","","7.0","95","1977","action, drama, crime, thriller","5263","1977-10-14","http://www.imdb.com/title/tt0076637/"
"244","tt0046478","Tue Feb 23 23:16:59 2016","Tue Feb 23 23:16:59 2016","","Ugetsu monogatari","Feature Film","Kenji Mizoguchi","","8.2","96","1953","drama, fantasy, war","14326","1953-03-26","http://www.imdb.com/title/tt0046478/"
"245","tt0078480","Tue Feb 23 23:17:01 2016","Tue Feb 23 23:17:01 2016","","Watership Down","Feature Film","Martin Rosen","","7.7","91","1978","animation, adventure, drama, fantasy, thriller","25135","1978-10-14","http://www.imdb.com/title/tt0078480/"
"246","tt0090315","Tue Feb 23 23:17:02 2016","Tue Feb 23 23:17:02 2016","","When the Wind Blows","Feature Film","Jimmy T. Murakami","","7.8","80","1986","animation, comedy, drama, war","7198","1986-10-24","http://www.imdb.com/title/tt0090315/"
"247","tt0049730","Tue Feb 23 23:19:56 2016","Tue Feb 23 23:19:56 2016","","The Searchers","Feature Film","John Ford","","8.0","119","1956","adventure, drama, western","62146","1956-03-13","http://www.imdb.com/title/tt0049730/"
"248","tt0060196","Tue Feb 23 23:19:58 2016","Tue Feb 23 23:19:58 2016","","Il buono, il brutto, il cattivo","Feature Film","Sergio Leone","9","8.9","161","1966","western","505318","1966-12-23","http://www.imdb.com/title/tt0060196/"
"249","tt0055399","Tue Feb 23 23:22:17 2016","Tue Feb 23 23:22:17 2016","","Salvatore Giuliano","Feature Film","Francesco Rosi","","7.5","123","1962","crime, drama, history, mystery","1959","1962-02-28","http://www.imdb.com/title/tt0055399/"
"250","tt0043972","Tue Feb 23 23:22:33 2016","Tue Feb 23 23:22:33 2016","","The River","Feature Film","Jean Renoir","","7.6","99","1951","drama, romance","4122","1951-09-10","http://www.imdb.com/title/tt0043972/"
"251","tt0040725","Tue Feb 23 23:24:32 2016","Tue Feb 23 23:24:32 2016","","The Red Shoes","Feature Film","Michael Powell, Emeric Pressburger","","8.3","133","1948","drama, music, romance","20184","1948-07-20","http://www.imdb.com/title/tt0040725/"
"252","tt0057091","Tue Feb 23 23:26:00 2016","Tue Feb 23 23:26:00 2016","","Il gattopardo","Feature Film","Luchino Visconti","","8.1","187","1963","drama, history","16342","1963-03-27","http://www.imdb.com/title/tt0057091/"
"253","tt0081398","Tue Feb 23 23:27:16 2016","Tue Feb 23 23:27:16 2016","","Raging Bull","Feature Film","Martin Scorsese","","8.3","129","1980","biography, drama, sport","235963","1980-11-14","http://www.imdb.com/title/tt0081398/"
"254","tt0085794","Tue Feb 23 23:27:18 2016","Tue Feb 23 23:27:18 2016","","The King of Comedy","Feature Film","Martin Scorsese","","7.8","109","1982","comedy, crime, drama, thriller","52260","1982-12-18","http://www.imdb.com/title/tt0085794/"
"255","tt0055630","Tue Feb 23 23:27:21 2016","Tue Feb 23 23:27:21 2016","","Yôjinbô","Feature Film","Akira Kurosawa","","8.3","110","1961","action, drama, thriller","74351","1961-04-25","http://www.imdb.com/title/tt0055630/"
"256","tt0033467","Tue Feb 23 23:27:23 2016","Tue Feb 23 23:27:23 2016","","Citizen Kane","Feature Film","Orson Welles","","8.4","119","1941","drama, mystery","299029","1941-05-01","http://www.imdb.com/title/tt0033467/"
"257","tt0054460","Tue Feb 23 23:28:42 2016","Tue Feb 23 23:28:42 2016","","Warui yatsu hodo yoku nemuru","Feature Film","Akira Kurosawa","","8.1","151","1960","crime, drama, thriller","7371","1960-09-15","http://www.imdb.com/title/tt0054460/"
"258","tt0028950","Tue Feb 23 23:28:56 2016","Tue Feb 23 23:28:56 2016","","La grande illusion","Feature Film","Jean Renoir","","8.1","114","1937","drama, war","26841","1937-06-04","http://www.imdb.com/title/tt0028950/"
"259","tt0042876","Tue Feb 23 23:29:06 2016","Tue Feb 23 23:29:06 2016","","Rashômon","Feature Film","Akira Kurosawa","","8.3","88","1950","crime, drama, mystery","103021","1950-08-26","http://www.imdb.com/title/tt0042876/"
"260","tt0071129","Tue Feb 23 23:29:13 2016","Tue Feb 23 23:29:13 2016","","Amarcord","Feature Film","Federico Fellini","","8.0","123","1973","comedy, drama","29519","1973-12-13","http://www.imdb.com/title/tt0071129/"
"261","tt0050976","Tue Feb 23 23:29:23 2016","Tue Feb 23 23:29:23 2016","","Det sjunde inseglet","Feature Film","Ingmar Bergman","","8.2","96","1957","drama, fantasy","112342","1957-02-16","http://www.imdb.com/title/tt0050976/"
"262","tt0040522","Tue Feb 23 23:29:39 2016","Tue Feb 23 23:29:39 2016","","Ladri di biciclette","Feature Film","Vittorio De Sica","","8.3","89","1948","drama","94849","1948-11-24","http://www.imdb.com/title/tt0040522/"
"263","tt0055032","Tue Feb 23 23:40:43 2016","Tue Feb 23 23:40:43 2016","","Jules et Jim","Feature Film","François Truffaut","","7.9","105","1962","drama, romance","27526","1962-01-23","http://www.imdb.com/title/tt0055032/"
"264","tt0276919","Tue Feb 23 23:40:59 2016","Tue Feb 23 23:40:59 2016","","Dogville","Feature Film","Lars Von Trier","","8.1","178","2003","crime, drama","107863","2003-05-19","http://www.imdb.com/title/tt0276919/"
"265","tt0049261","Tue Feb 23 23:41:48 2016","Tue Feb 23 23:41:48 2016","","Giant","Feature Film","George Stevens","","7.7","201","1956","drama, western","26376","1956-10-10","http://www.imdb.com/title/tt0049261/"
"266","tt0409799","Tue Feb 23 23:42:04 2016","Tue Feb 23 23:42:04 2016","","Cashback","Short Film","Sean Ellis","","7.7","18","2004","comedy, drama","8269","2004-08-01","http://www.imdb.com/title/tt0409799/"
"267","tt0364569","Tue Feb 23 23:42:12 2016","Tue Feb 23 23:42:12 2016","","Oldeuboi","Feature Film","Chan-wook Park","","8.4","120","2003","drama, mystery, thriller","357796","2003-11-21","http://www.imdb.com/title/tt0364569/"
"268","tt0340855","Thu Feb 25 11:03:32 2016","Thu Feb 25 11:03:32 2016","","Monster","Feature Film","Patty Jenkins","","7.3","109","2003","biography, crime, drama, thriller","105877","2003-11-16","http://www.imdb.com/title/tt0340855/"
"269","tt0358273","Thu Feb 25 11:03:35 2016","Thu Feb 25 11:03:35 2016","","Walk the Line","Feature Film","James Mangold","","7.9","136","2005","biography, drama, music, romance","188974","2005-09-04","http://www.imdb.com/title/tt0358273/"
"270","tt0112818","Thu Feb 25 11:04:35 2016","Thu Feb 25 11:04:35 2016","","Dead Man Walking","Feature Film","Tim Robbins","","7.6","122","1995","crime, drama","73366","1995-12-29","http://www.imdb.com/title/tt0112818/"
"271","tt2042568","Fri Feb 26 04:10:21 2016","Fri Feb 26 04:10:21 2016","","Inside Llewyn Davis","Feature Film","Ethan Coen, Joel Coen","","7.4","104","2013","drama, music","96923","2013-05-19","http://www.imdb.com/title/tt2042568/"
"272","tt0031971","Fri Feb 26 23:26:43 2016","Fri Feb 26 23:26:43 2016","","Stagecoach","Feature Film","John Ford","","7.9","96","1939","adventure, romance, western","31223","1939-02-15","http://www.imdb.com/title/tt0031971/"
"273","tt2371834","Sat Feb 27 04:46:29 2016","Sat Feb 27 04:46:29 2016","","Paradies: Hoffnung","Feature Film","Ulrich Seidl","","6.7","92","2013","drama","2887","2013-02-08","http://www.imdb.com/title/tt2371834/"
"274","tt0107207","Wed Mar  2 20:54:58 2016","Wed Mar  2 20:54:58 2016","","In the Name of the Father","Feature Film","Jim Sheridan","","8.1","133","1993","biography, drama, history","110227","1993-12-12","http://www.imdb.com/title/tt0107207/"
"275","tt3478962","Wed Mar  2 21:04:53 2016","Wed Mar  2 21:04:53 2016","","Mon roi","Feature Film","Maïwenn","","7.0","124","2015","drama, romance","3915","2015-05-17","http://www.imdb.com/title/tt3478962/"
"276","tt1895587","Wed Mar  2 22:13:44 2016","Wed Mar  2 22:13:44 2016","","Spotlight","Feature Film","Tom McCarthy","","8.1","128","2015","biography, crime, drama, history","200468","2015-09-03","http://www.imdb.com/title/tt1895587/"
"277","tt0169892","Wed Mar  2 22:39:17 2016","Wed Mar  2 22:39:17 2016","","Fantazii Faryateva","TV Movie","Ilya Averbakh","","8.3","","1982","comedy, drama","166","1982-01-25","http://www.imdb.com/title/tt0169892/"
"278","tt0446029","Wed Mar  2 23:11:08 2016","Wed Mar  2 23:11:08 2016","","Scott Pilgrim vs. the World","Feature Film","Edgar Wright","","7.5","112","2010","action, comedy, fantasy, romance","275033","2010-07-27","http://www.imdb.com/title/tt0446029/"
"279","tt0221559","Wed Mar  2 23:38:42 2016","Wed Mar  2 23:38:42 2016","","On the Edge","Feature Film","John Carney","","7.1","85","2001","drama","3099","2001-09-13","http://www.imdb.com/title/tt0221559/"
"280","tt0137315","Wed Mar  2 23:41:09 2016","Wed Mar  2 23:41:09 2016","","Looking After Jo Jo","TV Series","John Mackenzie","","8.1","50","1998","crime, drama","249","1998-01-12","http://www.imdb.com/title/tt0137315/"
"281","tt0253474","Wed Mar  2 23:58:46 2016","Wed Mar  2 23:58:46 2016","","The Pianist","Feature Film","Roman Polanski","9","8.5","150","2002","biography, drama, war","500116","2002-05-24","http://www.imdb.com/title/tt0253474/"
"282","tt0051959","Thu Mar  3 02:22:46 2016","Thu Mar  3 02:22:46 2016","","Murder by Contract","Feature Film","Irving Lerner","","7.4","81","1958","crime, drama, film_noir, thriller","1228","1958-12","http://www.imdb.com/title/tt0051959/"
"283","tt0036775","Thu Mar  3 02:23:35 2016","Thu Mar  3 02:23:35 2016","","Double Indemnity","Feature Film","Billy Wilder","","8.4","107","1944","crime, drama, film_noir, mystery, romance, thriller","98198","1944-04-24","http://www.imdb.com/title/tt0036775/"
"284","tt0406650","Fri Mar  4 00:32:34 2016","Fri Mar  4 00:32:34 2016","","The Chumscrubber","Feature Film","Arie Posin","","7.0","108","2005","comedy, drama","16330","2005-01-25","http://www.imdb.com/title/tt0406650/"
"285","tt0114814","Tue Mar 15 22:17:02 2016","Tue Mar 15 22:17:02 2016","","The Usual Suspects","Feature Film","Bryan Singer","","8.6","106","1995","crime, drama, mystery, thriller","743696","1995-01-25","http://www.imdb.com/title/tt0114814/"
"286","tt0378194","Sat Mar 19 01:14:54 2016","Sat Mar 19 01:14:54 2016","","Kill Bill: Vol. 2","Feature Film","Quentin Tarantino","","8.0","137","2004","action, crime, drama, thriller","514518","2004-04-16","http://www.imdb.com/title/tt0378194/"
"287","tt2382009","Sat Mar 19 01:15:11 2016","Sat Mar 19 01:15:11 2016","","Nymphomaniac: Vol. II","Feature Film","Lars von Trier","","6.7","123","2013","drama","59451","2013-12-25","http://www.imdb.com/title/tt2382009/"
"288","tt0057694","Sat Mar 19 01:15:43 2016","Sat Mar 19 01:15:43 2016","","Ya shagayu po Moskve","Feature Film","Georgiy Daneliya","","8.0","78","1964","comedy, romance","1540","1964-04-11","http://www.imdb.com/title/tt0057694/"
"289","tt0072613","Sat Mar 19 01:15:48 2016","Sat Mar 19 01:15:48 2016","","Afonya","Feature Film","Georgiy Daneliya","","8.1","92","1975","comedy, drama, romance","2024","1975-10-13","http://www.imdb.com/title/tt0072613/"
"290","tt0065063","Sat Mar 19 01:15:59 2016","Sat Mar 19 01:15:59 2016","","Take the Money and Run","Feature Film","Woody Allen","","7.3","85","1969","comedy, crime","22850","1969-08-18","http://www.imdb.com/title/tt0065063/"
"291","tt2133196","Sun Mar 20 01:25:37 2016","Sun Mar 20 01:25:37 2016","","Born to Be Blue","Feature Film","Robert Budreau","","7.1","97","2015","biography, drama, music","1874","2015-09-13","http://www.imdb.com/title/tt2133196/"
"292","tt1451637","Sun Mar 20 01:26:21 2016","Sun Mar 20 01:26:21 2016","","The Deaths of Chet Baker","Short Film","Robert Budreau","","7.5","","2009","biography","31","2009","http://www.imdb.com/title/tt1451637/"
"293","tt0064612","Mon Apr  4 02:11:17 2016","Mon Apr  4 02:11:17 2016","","Ma nuit chez Maud","Feature Film","Éric Rohmer","","8.1","110","1969","comedy, drama, romance","6763","1969-05-15","http://www.imdb.com/title/tt0064612/"
"294","tt0065772","Mon Apr  4 02:11:19 2016","Mon Apr  4 02:11:19 2016","","Le genou de Claire","Feature Film","Éric Rohmer","","7.8","105","1970","comedy, drama, romance","5802","1970-12-11","http://www.imdb.com/title/tt0065772/"
"295","tt0087821","Mon Apr  4 02:11:20 2016","Mon Apr  4 02:11:20 2016","","Les nuits de la pleine lune","Feature Film","Éric Rohmer","","7.6","100","1984","drama, romance","2197","1984-08-29","http://www.imdb.com/title/tt0087821/"
"296","tt0115940","Mon Apr  4 02:17:26 2016","Mon Apr  4 02:17:26 2016","","Conte d'été","Feature Film","Éric Rohmer","","7.7","113","1996","comedy, drama, romance","4193","1996-06-05","http://www.imdb.com/title/tt0115940/"
"297","tt0068205","Mon Apr  4 02:18:40 2016","Mon Apr  4 02:18:40 2016","","L'amour l'après-midi","Feature Film","Éric Rohmer","","7.9","97","1972","drama, romance","4287","1972-09-01","http://www.imdb.com/title/tt0068205/"
"298","tt0046451","Mon Apr  4 02:26:15 2016","Mon Apr  4 02:26:15 2016","","Touchez pas au grisbi","Feature Film","Jacques Becker","","8.0","94","1954","crime, drama","4688","1954-03-17","http://www.imdb.com/title/tt0046451/"
"299","tt0053472","Mon Apr  4 02:28:36 2016","Mon Apr  4 02:28:36 2016","","À bout de souffle","Feature Film","Jean-Luc Godard","","8.0","90","1960","crime, drama","52184","1960-03-16","http://www.imdb.com/title/tt0053472/"
"300","tt0056846","Mon Apr  4 02:30:19 2016","Mon Apr  4 02:30:19 2016","","La baie des anges","Feature Film","Jacques Demy","","7.4","90","1963","drama, romance","1790","1963-03-01","http://www.imdb.com/title/tt0056846/"
"301","tt0058458","Mon Apr  4 02:30:45 2016","Mon Apr  4 02:30:45 2016","","La peau douce","Feature Film","François Truffaut","","7.6","113","1964","drama, romance","4869","1964-04-20","http://www.imdb.com/title/tt0058458/"
"302","tt0055093","Mon Apr  4 02:35:45 2016","Mon Apr  4 02:35:45 2016","","Lola","Feature Film","Jacques Demy","","7.6","90","1961","drama, romance","3277","1961-03-03","http://www.imdb.com/title/tt0055093/"
"303","tt0058450","Mon Apr  4 02:35:48 2016","Mon Apr  4 02:35:48 2016","","Les parapluies de Cherbourg","Feature Film","Jacques Demy","","7.8","91","1964","drama, musical, romance","14994","1964-02-19","http://www.imdb.com/title/tt0058450/"
"304","tt0062873","Mon Apr  4 02:35:50 2016","Mon Apr  4 02:35:50 2016","","Les demoiselles de Rochefort","Feature Film","Jacques Demy","","7.6","120","1967","comedy, drama, musical, romance","4794","1967-03-08","http://www.imdb.com/title/tt0062873/"
"305","tt0048575","Mon Apr  4 02:36:22 2016","Mon Apr  4 02:36:22 2016","","Le sabotier du Val de Loire","Documentary","Jacques Demy","","7.3","26","1956","documentary, drama","142","1956-12","http://www.imdb.com/title/tt0048575/"
"306","tt0084843","Mon Apr  4 02:36:26 2016","Mon Apr  4 02:36:26 2016","","Une chambre en ville","Feature Film","Jacques Demy","","7.0","90","1982","drama, musical","587","1982-10-27","http://www.imdb.com/title/tt0084843/"
"307","tt0119828","Mon Apr  4 02:37:18 2016","Mon Apr  4 02:37:18 2016","","On connaît la chanson","Feature Film","Alain Resnais","","7.4","120","1997","comedy, drama, musical, romance","3324","1997-11-12","http://www.imdb.com/title/tt0119828/"
"308","tt0086890","Mon Apr  4 02:37:34 2016","Mon Apr  4 02:37:34 2016","","L'amour à mort","Feature Film","Alain Resnais","","7.1","92","1984","drama, romance","714","1984-09-01","http://www.imdb.com/title/tt0086890/"
"309","tt0086551","Mon Apr  4 02:38:02 2016","Mon Apr  4 02:38:02 2016","","Vivement dimanche!","Feature Film","François Truffaut","","7.4","110","1983","comedy, crime, mystery, thriller","4221","1983-08-10","http://www.imdb.com/title/tt0086551/"
"310","tt0076155","Mon Apr  4 02:38:08 2016","Mon Apr  4 02:38:08 2016","","L'homme qui aimait les femmes","Feature Film","François Truffaut","","7.5","120","1977","comedy, drama, romance","4833","1977-04-27","http://www.imdb.com/title/tt0076155/"
"311","tt0074152","Mon Apr  4 02:38:11 2016","Mon Apr  4 02:38:11 2016","","L'argent de poche","Feature Film","François Truffaut","","7.8","104","1976","comedy, drama","4234","1976-03-17","http://www.imdb.com/title/tt0074152/"
"312","tt0054248","Mon Apr  4 02:59:59 2016","Mon Apr  4 02:59:59 2016","","Rocco e i suoi fratelli","Feature Film","Luchino Visconti","","8.3","177","1960","crime, drama, sport","11337","1960-09-06","http://www.imdb.com/title/tt0054248/"
"313","tt0134633","Tue Apr 12 12:25:39 2016","Tue Apr 12 12:25:39 2016","","Ekipazh","Feature Film","Aleksandr Mitta","","7.7","144","1980","action, drama, thriller","1733","1980-05-12","http://www.imdb.com/title/tt0134633/"
"314","tt0113824","Tue Apr 12 12:26:00 2016","Tue Apr 12 12:26:00 2016","","Mimi wo sumaseba","Feature Film","Yoshifumi Kondô","","8.0","111","1995","animation, drama, family, music, romance","29910","1995-07-15","http://www.imdb.com/title/tt0113824/"
"315","tt0087544","Sun May 15 21:28:19 2016","Sun May 15 21:28:19 2016","","Kaze no tani no Naushika","Feature Film","Hayao Miyazaki","","8.1","117","1984","animation, adventure, fantasy, sci_fi","96755","1984-03-11","http://www.imdb.com/title/tt0087544/"
"316","tt0063840","Sun May 15 21:28:21 2016","Sun May 15 21:28:21 2016","","Zigzag udachi","Feature Film","Eldar Ryazanov","","7.3","88","1968","comedy","497","1968-12-30","http://www.imdb.com/title/tt0063840/"
"317","tt0056045","Sun May 15 21:28:23 2016","Sun May 15 21:28:23 2016","","Gusarskaya ballada","Feature Film","Eldar Ryazanov","","7.6","96","1962","comedy, musical, war","828","1962-09-07","http://www.imdb.com/title/tt0056045/"
"318","tt0055499","Sun May 15 21:28:32 2016","Sun May 15 21:28:32 2016","","Såsom i en spegel","Feature Film","Ingmar Bergman","","8.1","89","1961","drama","15207","1961-10-14","http://www.imdb.com/title/tt0055499/"
"319","tt0047296","Sun May 15 21:34:27 2016","Sun May 15 21:34:27 2016","","On the Waterfront","Feature Film","Elia Kazan","","8.2","108","1954","crime, drama, romance, thriller","101304","1954-06-22","http://www.imdb.com/title/tt0047296/"
"320","tt0238883","Sun May 15 21:34:33 2016","Sun May 15 21:34:33 2016","","Brat 2","Feature Film","Aleksey Balabanov","","7.9","122","2000","action, crime, thriller","7494","2000-05-11","http://www.imdb.com/title/tt0238883/"
"321","tt0013442","Sun May 15 21:35:04 2016","Sun May 15 21:35:04 2016","","Nosferatu, eine Symphonie des Grauens","Feature Film","F.W. Murnau","","8.0","94","1922","fantasy, horror","68396","1922-02-17","http://www.imdb.com/title/tt0013442/"
"322","tt0100157","Mon May 16 03:16:43 2016","Mon May 16 03:16:43 2016","","Misery","Feature Film","Rob Reiner","","7.8","107","1990","crime, drama, thriller","133952","1990-11-30","http://www.imdb.com/title/tt0100157/"
"323","tt0075005","Mon May 16 03:21:32 2016","Mon May 16 03:21:32 2016","","The Omen","Feature Film","Richard Donner","","7.6","111","1976","fantasy, horror, mystery","81239","1976-06-06","http://www.imdb.com/title/tt0075005/"
"324","tt0062393","Wed May 18 00:09:09 2016","Wed May 18 00:09:09 2016","","Tri topolya na Plyushchikhe","Feature Film","Tatyana Lioznova","","7.9","79","1968","romance","532","1968-03-15","http://www.imdb.com/title/tt0062393/"
"325","tt0084518","Wed May 18 00:09:12 2016","Wed May 18 00:09:12 2016","","Polyoty vo sne i nayavu","Feature Film","Roman Balayan","8","7.6","92","1983","drama","567","1983-01-17","http://www.imdb.com/title/tt0084518/"
"326","tt2972828","Wed May 18 00:09:18 2016","Wed May 18 00:09:18 2016","","Rol","Feature Film","Konstantin Lopushanskiy","","7.1","132","2013","drama, history","201","2013-06-25","http://www.imdb.com/title/tt2972828/"
"327","tt2356777","Wed May 18 01:07:03 2016","Wed May 18 01:07:03 2016","","True Detective","TV Series","","10","9.1","55","2014","crime, drama, mystery, thriller","328756","2014-01-12","http://www.imdb.com/title/tt2356777/"
"328","tt1475582","Wed May 18 01:08:42 2016","Wed May 18 01:08:42 2016","","Sherlock","TV Series","","10","9.3","88","2010","crime, drama, mystery","506699","2010-07-25","http://www.imdb.com/title/tt1475582/"
"329","tt2442560","Wed May 18 01:08:49 2016","Wed May 18 01:08:49 2016","","Peaky Blinders","TV Series","","9","8.8","60","2013","crime, drama","60153","2013-09-12","http://www.imdb.com/title/tt2442560/"
"330","tt4158110","Wed May 18 01:09:00 2016","Wed May 18 01:09:00 2016","","Mr. Robot","TV Series","","","8.8","49","2015","crime, drama, thriller","167312","2015-03-17","http://www.imdb.com/title/tt4158110/"
"331","tt2802850","Wed May 18 01:09:03 2016","Wed May 18 01:09:03 2016","","Fargo","TV Series","","9","9.0","53","2014","crime, drama, thriller","171947","2014-04-15","http://www.imdb.com/title/tt2802850/"
"332","tt0098936","Wed May 18 01:22:51 2016","Wed May 18 01:22:51 2016","","Twin Peaks","TV Series","","9","8.9","47","1990","crime, drama, mystery, thriller","110213","1989-09","http://www.imdb.com/title/tt0098936/"
"333","tt0077869","Wed May 18 01:24:14 2016","Wed May 18 01:24:14 2016","","The Lord of the Rings","Feature Film","Ralph Bakshi","","6.2","132","1978","animation, adventure, fantasy","24306","1978-11-15","http://www.imdb.com/title/tt0077869/"
"334","tt0425458","Wed May 18 01:24:44 2016","Wed May 18 01:24:44 2016","","Six Shooter","Short Film","Martin McDonagh","7","7.7","27","2004","comedy","6618","2004-10-14","http://www.imdb.com/title/tt0425458/"
"335","tt2494384","Tue Jun 28 22:29:14 2016","Tue Jun 28 22:29:14 2016","","Aloft","Feature Film","Claudia Llosa","","5.3","112","2014","drama","2145","2014-02-12","http://www.imdb.com/title/tt2494384/"
"336","tt0055572","Thu Jun 30 05:16:13 2016","Thu Jun 30 05:16:13 2016","","Une femme est une femme","Feature Film","Jean-Luc Godard","","7.6","85","1961","comedy, drama, romance","10553","1961-06","http://www.imdb.com/title/tt0055572/"
"337","tt0091167","Wed Aug 10 02:30:22 2016","Wed Aug 10 02:30:22 2016","","Hannah and Her Sisters","Feature Film","Woody Allen","8","8.0","103","1986","comedy, drama, romance","52827","1986-02-07","http://www.imdb.com/title/tt0091167/"
"338","tt0093940","Wed Aug 10 02:30:23 2016","Wed Aug 10 02:30:23 2016","","September","Feature Film","Woody Allen","","6.7","82","1987","drama","7065","1987-12-18","http://www.imdb.com/title/tt0093940/"
"339","tt0094663","Wed Aug 10 02:30:25 2016","Wed Aug 10 02:30:25 2016","","Another Woman","Feature Film","Woody Allen","","7.4","81","1988","drama, romance","9867","1988-10-14","http://www.imdb.com/title/tt0094663/"
"340","tt0097123","Wed Aug 10 02:30:28 2016","Wed Aug 10 02:30:28 2016","","Crimes and Misdemeanors","Feature Film","Woody Allen","9","8.0","104","1989","comedy, drama","43052","1989-10-13","http://www.imdb.com/title/tt0097123/"
"341","tt0097965","Wed Aug 10 02:30:30 2016","Wed Aug 10 02:30:30 2016","","New York Stories","Feature Film","Woody Allen, Francis Coppola","","6.4","124","1989","comedy, drama, romance","13737","1989-03-01","http://www.imdb.com/title/tt0097965/"
"342","tt0099012","Wed Aug 10 02:30:31 2016","Wed Aug 10 02:30:31 2016","","Alice","Feature Film","Woody Allen","","6.6","102","1990","comedy, fantasy, romance","10580","1990-12-25","http://www.imdb.com/title/tt0099012/"
"343","tt0104466","Wed Aug 10 02:30:34 2016","Wed Aug 10 02:30:34 2016","","Husbands and Wives","Feature Film","Woody Allen","7","7.6","103","1992","comedy, drama, romance","21603","1992-08-19","http://www.imdb.com/title/tt0104466/"
"344","tt0107507","Wed Aug 10 02:30:36 2016","Wed Aug 10 02:30:36 2016","","Manhattan Murder Mystery","Feature Film","Woody Allen","7","7.4","104","1993","comedy, mystery","28549","1993-08-18","http://www.imdb.com/title/tt0107507/"
"345","tt0109644","Wed Aug 10 02:30:37 2016","Wed Aug 10 02:30:37 2016","","Don't Drink the Water","TV Movie","Woody Allen","","6.3","100","1994","comedy","2507","1994-12-18","http://www.imdb.com/title/tt0109644/"
"346","tt0069097","Wed Aug 10 02:30:53 2016","Wed Aug 10 02:30:53 2016","","Play It Again, Sam","Feature Film","Herbert Ross","","7.7","85","1972","comedy, romance","19679","1972-05-04","http://www.imdb.com/title/tt0069097/"
"347","tt0066260","Wed Aug 10 02:30:59 2016","Wed Aug 10 02:30:59 2016","","Pussycat, Pussycat, I Love You","Feature Film","Rod Amateau","","4.8","99","1970","comedy","358","1970-03-25","http://www.imdb.com/title/tt0066260/"
"348","tt0061177","Wed Aug 10 02:31:14 2016","Wed Aug 10 02:31:14 2016","","What's Up, Tiger Lily?","Feature Film","Woody Allen, Senkichi Taniguchi","","6.1","80","1966","adventure, comedy, crime, thriller","7733","1966-11-02","http://www.imdb.com/title/tt0061177/"
"349","tt0313792","Wed Aug 10 02:31:41 2016","Wed Aug 10 02:31:41 2016","","Anything Else","Feature Film","Woody Allen","","6.4","108","2003","comedy, romance","25233","2003-08-27","http://www.imdb.com/title/tt0313792/"
"350","tt0057611","Thu Aug 11 08:24:54 2016","Thu Aug 11 08:24:54 2016","","Tystnaden","Feature Film","Ingmar Bergman","","8.1","96","1963","drama","12201","1963-09-26","http://www.imdb.com/title/tt0057611/"
"351","tt0063522","Thu Aug 11 08:26:15 2016","Thu Aug 11 08:26:15 2016","","Rosemary's Baby","Feature Film","Roman Polanski","","8.0","136","1968","drama, horror","140977","1968-06-12","http://www.imdb.com/title/tt0063522/"
